"","StuNum","avgYearPack","numYearAward","SexCode","MaritalCode","LeadCategoryCode","PrevEdCode","AdmRepName","ProgramCode","CitizenCode","IsHispanic","DDVeteran","cancelFlag.x"
"230","10863",25188.4566666667,3,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"231","11428",28619.6666666667,3,"F","S","REF","ASSOC","07","2","US","2","0","0"
"232","11477",22294.3333333333,3,"F","P","RADIO","HS","07","2","ELNC","1","0","0"
"233","10965",26166.8666666667,3,"F","S","REF","BACH","15","2","ELNC","2","0","0"
"234","11121",24284.25,1,"F","S","REF","HS","15","2","US","2","0","0"
"235","11229",26315.765,2,"F","M","REF","SOMECOLL","15","2","US","1","0","0"
"236","11384",25675.435,2,"F","M","PPC","SOMECOLL","14","1","ELNC","2","0","0"
"237","11596",28146.6666666667,3,"F","S","REF","ASSOC","15","2","US","2","0","0"
"238","10918",37831,1,"F","S","REF","SOMECOLL","07","2","US","2","0","0"
"239","11486",26718.3333333333,3,"M","S","RADIO","SOMECOLL","15","2","US","2","0","0"
"240","10998",26322.8666666667,3,"F","S","REF","SOMECOLL","07","2","US","2","0","0"
"241","10225",23893.6666666667,3,"F","S","REF","SOMECOLL","07","2","US","1","0","0"
"242","12040",23918.035,2,"M","S","REF","SOMECOLL","14","2","US","1","0","0"
"243","12024",33643.6666666667,3,"F","S","REF","SOMECOLL","14","2","US","1","0","0"
"244","11954",24040.3333333333,3,"F","S","PDSCLMDA","SOMECOLL","14","2","US","2","0","0"
"245","11944",25943.3333333333,3,"F","S","PPC","SOMECOLL","03","2","US","1","0","0"
"246","11423",32640,1,"F","S","INTINT","SOMECOLL","14","1","US","2","0","0"
"247","11181",31323.5,2,"F","S","REF","SOMECOLL","30","2","US","2","0","0"
"248","10333",30344.6,3,"F","S","RADIO","SOMECOLL","07","2","US","1","0","0"
"249","10080",32136,3,"F","M","REF","SOMECOLL","15","2","ELNC","2","0","0"
"250","10494",34470,2,"F","S","RADIO","SOMECOLL","07","2","US","1","0","0"
"251","10064",34685.3333333333,3,"F","S","REF","SOMECOLL","07","2","US","2","0","0"
"252","10212",28716,3,"F","S","REF","ASSOC","07","2","US","2","0","0"
"253","11065",40600,1,"F","S","PPC","ASSOC","14","2","US","2","0","0"
"254","10549",39003,2,"F","S","PPC","SOMECOLL","01","2","US","2","0","0"
"255","10783",25698.8333333333,3,"F","M","PDSCLMDA","SOMECOLL","14","2","US","1","0","0"
"256","12078",25063,3,"M","M","INTINT","SOMECOLL","07","2","US","2","0","0"
"257","10365",24657,1,"F","M","PPC","BACH","14","2","US","2","0","1"
"258","11663",22070.8,1,"M","S","INTINT","SOMECOLL","14","1","US","2","0","0"
"259","11832",23974.6666666667,3,"F","S","REF","BACH","24","2","US","1","0","0"
"260","11709",32896,2,"F","M","REF","SOMECOLL","07","2","US","2","0","0"
"261","10574",21936.8,1,"F","S","REF","SOMECOLL","07","2","US","2","0","0"
"262","11942",36610.3333333333,3,"F","S","PPC","SOMECOLL","03","1","US","2","0","0"
"263","11359",43245,2,"F","S","REF","SOMECOLL","21","2","US","2","0","0"
"264","12020",25374.3333333333,3,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"265","10233",41304.5,2,"M","S","REF","SOMECOLL","07","2","US","2","0","0"
"266","11769",31213.6666666667,3,"F","S","REF","SOMECOLL","07","2","US","2","0","0"
"267","10218",26074.5,3,"F","S","INTINT","BACH","07","2","US","2","0","0"
"268","11516",23391.745,4,"F","M","TV","ASSOC","14","2","US","1","0","0"
"269","10619",16195,1,"F","S","REF","UN","07","2","US","2","0","1"
"270","11548",24488,1,"F","S","REF","SOMECOLL","07","1","US","2","0","0"
"271","11786",22092.26,2,"F","S","RADIO","HS","07","2","US","2","0","0"
"272","10866",14504.81,2,"F","S","INTINT","SOMECOLL","14","1","US","1","0","0"
"273","11578",21524,3,"F","S","DIRMAIL","SOMECOLL","14","2","US","1","0","0"
"274","11138",21407.25,4,"F","M","RADIO","SOMECOLL","15","2","US","2","0","0"
"275","11616",1401.15,2,"F","S","INTINT","SOMECOLL","03","2","US","2","0","0"
"276","10529",20867.64,2,"F","M","PPC","SOMECOLL","13","2","US","2","0","0"
"277","11536",37606,2,"F","S","REF","BACH","07","2","US","2","0","0"
"278","11940",13762.65,1,"F","S","RADIO","SOMECOLL","13","2","US","2","0","0"
"279","10122",36425.75,2,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"280","11241",22687.3333333333,3,"F","S","BUSDEV","SOMECOLL","09","2","US","2","0","0"
"281","10269",38755.5,2,"F","S","INTINT","SOMECOLL","07","2","US","2","0","0"
"282","11708",23435,3,"F","S","REF","SOMECOLL","07","2","US","2","0","0"
"283","12152",24971.9025,4,"M","S","REF","SOMECOLL","15","2","US","2","0","0"
"284","10442",5679,1,"F","M","REF","ASSOC","07","2","US","1","0","0"
"285","10664",30515.02,3,"F","M","INTINT","UN","07","2","US","2","0","0"
"286","11211",15895,1,"F","D","PPC","HS","04","2","US","2","0","1"
"287","10941",41506.6,2,"F","M","INTINT","ASSOC","07","2","US","2","0","0"
"288","12105",12404.45,1,"F","S","INTINT","SOMECOLL","30","2","US","2","0","0"
"289","12182",15935.02,3,"F","S","INTINT","SOMECOLL","07","2","US","2","0","0"
"290","10050",21490.6666666667,3,"F","S","INTINT","UN","03","2","US","1","0","0"
"291","10260",37528.05,2,"F","S","INTINT","SOMECOLL","12","2","US","2","0","0"
"292","10115",4750,1,"F","S","REF","SOMECOLL","07","2","ELNC","1","0","0"
"293","10424",7486.5,1,"F","M","PPC","SOMECOLL","14","2","US","2","0","0"
"294","11797",27630,1,"M","M","REF","SOMECOLL","03","2","US","2","0","0"
"295","10007",38663.15,2,"F","S","INTINT","SOMECOLL","07","2","US","2","0","0"
"296","11763",27627.585,4,"M","S","OUTDOOR","SOMECOLL","07","2","US","2","0","0"
"297","11520",31376,1,"F","S","PDSCLMDA","SOMECOLL","07","2","US","1","0","0"
"298","12246",36760.5,2,"F","S","INTINT","BACH","09","2","US","2","0","0"
"299","10545",26327,3,"F","S","REF","SOMECOLL","03","2","US","2","0","0"
"300","11013",12591.5,2,"F","D","REF","SOMECOLL","30","1","US","2","0","1"
"301","11806",19015.55,4,"M","S","REF","SOMECOLL","14","2","US","2","0","0"
"302","10569",17628,2,"F","S","RADIO","SOMECOLL","03","2","US","1","0","0"
"303","11542",12932.5,2,"F","S","INTINT","HS","08","2","US","1","0","1"
"304","12196",32904.6666666667,3,"F","M","REF","BACH","14","2","US","1","0","0"
"305","10754",10993,1,"F","S","PPC","SOMECOLL","07","2","US","1","0","0"
"306","12083",25277,3,"F","S","REF","SOMECOLL","14","2","US","2","0","0"
"307","10350",7213,1,"F","D","RADIO","ASSOC","08","2","US","2","0","1"
"308","12234",2496.7,1,"F","S","PPC","HS","07","2","US","2","0","0"
"309","10355",23775.7,2,"F","S","REF","HS","15","2","US","2","0","0"
"310","10911",28578.76,3,"F","M","REF","SOMECOLL","15","2","US","2","0","0"
"311","11251",24001.4033333333,3,"F","M","REF","SOMECOLL","15","2","US","2","0","0"
"312","10238",21898.75,4,"F","S","PPC","SOMECOLL","07","2","US","2","0","0"
"313","10366",4492,1,"F","D","INTINT","ASSOC","14","2","US","2","0","0"
"314","12158",33879.52,3,"F","M","INTINT","HS","14","2","US","2","0","0"
"315","11024",41671.5,2,"F","S","INTINT","BACH","07","2","US","2","0","0"
